filename,energy
APUDEV01_m_1_gas_xR,-3430.33413887
APUDEV01_m_1_water_xR,-3430.33676761
APUDEV_m_1_gas_xR,-3430.34954494
APUDEV_m_1_water_xR,-3430.35204757
BEMLOU03_m_1_gas_xR,-1762.47239572
BEMLOU23_m_1_gas_xR,-1762.4866649
ESIWUY02_m_1_gas_xR,-11662.6752192
ESIWUY_m_1_gas_xR,-11662.6886945
FODMAO01_m_1_gas_xR,-2972.37196352
FODMAO_m_1_gas_xR,-2972.34974756
FUYJAK01_m_1_gas_xR,-1777.52222874
FUYJAK_m_1_gas_xR,-1777.54421614
FUYJAK_m_1_water_xR,-1777.58635022
GEDSAM01_m_1_gas_xR,-3211.54087688
GEDSAM01_m_1_water_xR,-3211.56186359
GEDSAM_m_1_gas_xR,-3211.52548726
GEDSAM_m_1_water_xR,-3211.54378177
HAXMAW01_m_1_gas_xR,-1212.65150256
HAXMAW01_m_1_water_xR,-1212.65840612
HAXMAW_m_1_gas_xR,-1215.04190037
HAXMAW_m_1_water_xR,-1215.06373877
HNIABZ20_m_1_water_xR,-1799.08203785
ICIMAI01_m_1_gas_xR,-8103.83628768
ICIMAI_m_1_gas_xR,-8103.84963559
IHAPOX01_m_1_gas_xR,-1735.68202051
IHAPOX02_m_1_gas_xR,-1735.67159951
IHAPOX02_m_1_water_xR,-1735.72300314
IHAPOX_m_1_gas_xR,-1735.7040017
IHAPOX_m_1_water_xR,-1735.73860265
INOHIC01_m_1_gas_xR,-3552.24873638
INOHIC_m_1_gas_xR,-3552.27556999
IYEBUJ03_m_1_water_xR,-1922.40934967
KELGEO01_m_1_gas_xR,-11925.1914327
KELGEO01_m_1_water_xR,-11925.2176612
KELGEO02_m_1_gas_xR,-11925.2273921
KELGEO02_m_1_water_xR,-11925.2470433
KELGEO03_m_1_gas_xR,-11925.2117797
KELGEO03_m_1_water_xR,-11925.230346
KELGEO_m_1_gas_xR,-11925.2014981
KELGEO_m_1_water_xR,-11925.2207187
KISQUZ01_m_1_gas_xR,-3613.16462976
KISQUZ01_m_1_water_xR,-3613.16795734
KISQUZ_m_1_gas_xR,-3613.13667523
KISQUZ_m_1_water_xR,-3613.14077183
MHQACD02_m_1_gas_xR,-1107.60913038
MHQACD02_m_1_water_xR,-1107.63999617
MHQACD_m_1_gas_xR,-1109.97317695
MHQACD_m_1_water_xR,-1110.00384092
MILHOF02_m_1_water_xR,-2344.0744783
MILHOF_m_1_water_xR,-2344.07402633
MUJTOB01_m_1_gas_xR,-7427.34017494
MUJTOB01_m_1_water_xR,-7427.36217161
MUJTOB_m_1_gas_xR,-7427.32577883
MUJTOB_m_1_water_xR,-7427.34592026
OCHTET13_m_1_water_xR,-1196.17486162
QEDTIC01_m_1_gas_xR,-996.082445513
QEDTIC01_m_1_water_xR,-996.094813636
QEDTIC_m_1_gas_xR,-997.312945097
QEDTIC_m_1_water_xR,-997.327514373
RAPFEW01_m_1_water_xR,-3179.1970564
RAPFEW_m_1_water_xR,-3179.21070893
SAPDAQ02_m_1_gas_xR,-1146.0781537
SAPDAQ_m_1_gas_xR,-1146.09178004
SUWMIG03_m_1_water_xR,-1370.39015799
TDBOCP01_m_1_gas_xR,-1109.08384716
TDBOCP01_m_1_water_xR,-1109.10283418
TDBOCP_m_1_gas_xR,-1110.20134707
TDBOCP_m_1_water_xR,-1110.22240682
TIYDOW01_m_1_gas_xR,-3031.82834176
TIYDOW01_m_1_water_xR,-3031.82496685
TIYDOW_m_1_gas_xR,-3031.84442748
TIYDOW_m_1_water_xR,-3031.83942373
UJIWEQ_m_1_water_xR,-1634.29453806
