Refcode,Del_conformational_energy(kJ/mol),Del_strain_energy(kJ/mol),Del_rugosity
RALMOG,-3.2092011603267565,-0.5072728547550014,-0.03
AMBNAC,-0.0016146825869611803,-0.6539227829494791,0.03
ACSALA,0.00037544640980513577,-0.3661417278492536,0.051
VUSDIX,5.904381930023078,0.2953424949796499,0.055
NUWTIJ,4.979575810065626,1.5367051506273128,0.056
HXACAN,-5.250944468571106e-06,-0.3472643827984143,0.063
CBMZPN,-0.0014230208752223916,-0.06590267551479201,0.068
BAPLOT,-0.330991533963072,1.2173918401380774,0.136
YIGPIO,-32.28687621084737,7.248322870558013,0.151
