filename,energy
"XXIII-E-qha_m_1_gas_free,-1935",
"XXIII-E-qha_m_1_gas_restricted,-1935",
"XXIII-E-qha_m_1_water_free,-1935",
"XXIII-E-qha_m_1_water_restricted,-1935",
"XXIII-E-qha_m_2_gas_free,-1935",
"XXIII-E-qha_m_2_gas_restricted,-1935",
"XXIII-E-qha_m_2_water_free,-1935",
"XXIII-E-qha_m_2_water_restricted,-1935",
"XXIII-N18-qha_m_1_gas_free,-1935",
"XXIII-N18-qha_m_1_gas_restricted,-1935",
"XXIII-N18-qha_m_1_water_free,-1935",
"XXIII-N18-qha_m_1_water_restricted,-1935",
"XXIII-N31-qha_m_1_gas_free,-1935",
"XXIII-N31-qha_m_1_gas_restricted,-1935",
"XXIII-N31-qha_m_1_water_free,-1935",
"XXIII-N31-qha_m_1_water_restricted,-1935",
"XXIII-N39-qha_m_1_gas_free,-1935",
"XXIII-N39-qha_m_1_gas_restricted,-1935",
"XXIII-N39-qha_m_1_water_free,-1935",
"XXIII-N39-qha_m_1_water_restricted,-1935",
"XXIII-N42-qha_m_1_gas_free,-1935",
"XXIII-N42-qha_m_1_gas_restricted,-1935",
"XXIII-N42-qha_m_1_water_free,-1935",
"XXIII-N42-qha_m_1_water_restricted,-1935",
"XXIII-N4-qha_m_1_gas_free,-1935",
"XXIII-N4-qha_m_1_gas_restricted,-1935",
"XXIII-N4-qha_m_1_water_free,-1935",
"XXIII-N4-qha_m_1_water_restricted,-1935",
"XXIII-N6-qha_m_1_gas_free,-1935",
"XXIII-N6-qha_m_1_gas_restricted,-1935",
"XXIII-N6-qha_m_1_water_free,-1935",
"XXIII-N6-qha_m_1_water_restricted,-1935",
"XXIII-N6-qha_m_2_gas_free,-1935",
"XXIII-N6-qha_m_2_gas_restricted,-1935",
"XXIII-N6-qha_m_2_water_free,-1935",
"XXIII-N6-qha_m_2_water_restricted,-1935",
"XXIII-N70-qha_m_1_gas_free,-1935",
"XXIII-N70-qha_m_1_gas_restricted,-1935",
"XXIII-N70-qha_m_1_water_free,-1935",
"XXIII-N70-qha_m_1_water_restricted,-1935",
"XXIII-N85-qha_m_1_gas_free,-1935",
"XXIII-N85-qha_m_1_gas_restricted,-1935",
"XXIII-N85-qha_m_1_water_free,-1935",
"XXIII-N85-qha_m_1_water_restricted,-1935",
